title,content,subcodexes
"","","Moving to a Specific Location Via a Special Ability or Magic:  Some card effects specify movement to 
a specific location, typically by a triggered ability. For example [[Giant Shark]], [[Mount Ussar 
Sanctuary]], or [[Guardian Angel]]. Some spells also provide such an effect, e.g. [[Harpyon Urge]]. 
When resolving such an effect, the controller of the effect must specify a path that is the fewest 
possible steps to the destination. If there are multiple equally short paths, the controller 
chooses. If no such path exists, the unit doesn't move at all. See ((Range of Motion)) for how to 
apply lookahead when determining the path. Note that the basic abilities 'Move and Attack' and 
'Defend' do not require the player to choose the shortest path to the destination because they are 
limited by the unit's movement (typically just a single step)."
"Move and Attack","Move and Attack is a basic, activated ability with the following text: Tap -> This unit may take one 
step. Then, it may attack.",""
"","","Movement:  Normally the unit's movement path is one step between two adjacent surface locations, but 
some abilities may modify this, including Movement +X, Moves Freely, Burrowing, Submerge, Airborne, 
and Voidwalk (and effects like [[Felbog Frog Men]]). Steps resolve one at a time. Because some 
abilities may change as your unit moves through the realm, you may declare seemingly-illegal 
movement paths. That is, the legality of the movement path is only checked step by step, as each 
individual step is about to happen. If the step is not legal at the moment you try to take it, you 
do not take that step, and you continue resolving anything remaining. See the examples below for 
further details. When you declare movement, the only restriction is that you may not repeat specific 
steps. If your unit takes at least one step, it has moved; if it takes zero steps, it has not moved."
"","","Declaring The Attack Target:  The Move and Attack ability does not use the word 'target,' so you do 
not declare any targets in advance. As it resolves from the storyline, you declare your full 
movement path, then resolve that movement. After completing all the movement (if any), you may 
attack, declaring your attack target at that time. See the '((attack))' codex entry for further 
details on the attack sequence."
"","","Example - Declaring a Seemingly Illegal Movement Path:   [[Rimland Nomads]] are at A, in a 
[[Silence]] aura on the leftmost 2x2 area. You use their Move and Attack basic ability and declare 
the following movement path: Surface A -> Surface B Surface B -> Surface C Since the Nomads are in a 
Silence aura, they do not currently have Movement +1 and therefore they wouldn't normally be able to 
take two steps. Nonetheless, you can declare the path and see what happens. Once they step onto B, 
they're out of the aura. The game tries to resolve the second step and notices that, yes, the Nomads 
do have the capacity to take a second step, so they do, and end up at C."
"Movement +X","Keyword Ability. A unit with Movement +X may move up to X additional steps when using the Move and 
Attack or Defend basic abilities. For example, [[Rimland Nomads]] may take two steps instead of just 
one. If a unit has multiple copies of the Movement +X ability, the numbers simply add together. For 
example, [[Rimland Nomads]] with [[Mad Dash]] have Movement +2.",""
"Moves Freely","A unit with Moves Freely spends no steps moving via the Move and Attack or Defend basic abilities, 
as long as the starting and ending locations of the step satisfy the Moves Freely condition. Moves 
Freely only applies to basic movement, which is movement from the Move and Attack basic ability and 
the Defend basic ability. A unit can combine free steps with regular steps, up to its movement 
limit. See the examples below for more details.",""
"","","Examples of Moves Freely:  Example 1  w1, w2, and w3 are water sites. A and B are land sites. [[Sir 
Pelleas]] starts underwater at w1. He can take 1 step normally with the Move and Attack ability, so 
he declares the following movement path: w1 underwater -> w1 surface (0 steps, Moves Freely between 
water locations) w1 surface -> w2 surface (still 0 steps) w2 surface -> A surface (1 step) Note that 
[[Sir Pelleas]] cannot simply teleport to w3; Moves Freely requires the unit to declare a movement 
path, and some of the steps in that path might be free.  Example 2 Same as above, but [[Sir 
Pelleas]] starts on the surface of B. He can declare this path: B surface -> w1 surface (1 step) w1 
surface -> w1 underwater (0 steps) w1 underwater -> w2 underwater (0 steps) w2 underwater -> w2 
surface (0 steps) The last three steps are all free, because they are between two water locations, 
per the Moves Freely ability of [[Sir Pelleas]]. Note that [[Sir Pelleas]] couldn't then continue 
from w2 surface to A surface, because that's not a free step, and [[Sir Pelleas]] already used up 
his 1 step for his Move and Attack basic ability."
"Must Be Cast","If a spell (typically a minion) 'must be cast' to a certain location it is an additional 
restriction; you still must also follow normal casting restrictions for minions, e.g. to a site you 
control. For example, [[Drowned]] must be cast submerged and also to a site you control. 
[[Mephistopheles]] and [[Cerberus in Chains]] must be cast to your avatar's location, and also to a 
site you control. Minion spells cast by [[Algor Omphalos]] must be cast to its location and also to 
a site you control. If the Omphalos was somehow on your opponent's site, the Omphalos wouldn't be 
able to cast minions to its location unless you could somehow cast minions to your opponent's site 
due to some other effect. Note that if you summon a minion directly to the realm without casting it, 
e.g. [[Raise Dead]] or [[Boneyard]], then casting restrictions do not apply. (Summoning restrictions 
still apply.)",""
"Near","Near is a synonym for 'nearby.'",""
"Nearby","Nearby refers to the current square and the eight squares that surround it (including diagonals). 
For example, the middle square has 9 nearby squares - itself and eight others.  If a square is in 
the corner of the realm, it will have fewer nearby squares. For example, the bottom right square has 
only 4 nearby squares - itself and three others.  When referring to nearby sites, nearby voids, or 
nearby squares the effect can cross the boundaries of regions. For example, [[Ultimate Horror]] can 
be in the void and still summon to a nearby site, even though sites and voids are in different 
regions. For all other references to nearby, such as nearby locations, nearby minions, nearby 
artifact, etc., regional boundaries must be respected and cannot be crossed. For example, if 
[[Belfry]] is on a site, it will not untap allies in a nearby void, because 'nearby ally' cannot 
cross a regional boundary.",""
"Non-Active Player","The non-active player is the player who is not currently taking their turn.",""
"On the Ground","To move 'on the ground' means to start from the surface of a site and move to another site's 
surface, excluding Airborne and teleport. This includes all types of sites, including water sites.",""
"Ongoing Effect","Ongoing effects apply continuously during their duration. If they do not have a listed duration, 
they apply indefinitely while the source is in the realm. For example, [[King of the Realm]]'s 
passive ability is an ongoing effect that gives you control of all mortals. [[Gnome Hollows]]' 
passive ability is an ongoing effect that prevents units with 3 or more power from entering. 
[[Quagmire]]'s genesis ability creates an ongoing effect that causes units to be Immobile while they 
occupy nearby sites until your next turn. Between each event on the storyline, apply all ongoing 
effects. That is, the game is very regularly applying ongoing effects, both before and after each 
event on the storyline. Most of the time, the application of ongoing effects is straightforward; 
simply apply them. Complex interactions are described below.",""
"","","Apply All Ongoing Effects Before Checking For Minions Dying:  If there are multiple ongoing effects, 
the game will apply all of them before checking to see if any minions died. For example, you have a 
[[Bosk Troll]] that has taken 1 damage this turn. Then, you move it to a location that is nearby 
both [[Wicked Witch]] and your [[House Arn Bannerman]]. Both the Witch and the Bannerman generate 
ongoing effects with their passive abilities. If the game applied the -2 power from the Witch first 
and then immediately checked for minions dying, the Bosk Troll would die, even though it shouldn't 
due to the House Arn Bannerman. Therefore, between each event on the storyline, the game applies all 
ongoing effects before checking for minions dying."
"","","Apply Ongoing Effects In Order:  If ongoing effects overlap or conflict, apply them in the order 
listed here by layer: Copy effects, e.g. [[Mirror Realm]], [[Selfsame Simulacrum]] Disabling 
effects, silencing effects, e.g. [[Root Spider]], [[Iron Shackles]], [[Silence]], [[Sisters of 
Silence]] Control effects, e.g. [[King of the Realm]], [[Mesmerism]] Type changing effects, e.g. 
[[Bower of Bliss]], [[Island Leviathan]] Ability adding and removing effects, and affinity changing 
effects, e.g. [[Power of Flight]], [[Watchtower]], [[Tide Naiads]], [[Drought]] Power setting 
effects, e.g. [[Shrink]] Power addition and subtraction effects, e.g. [[Overpower]], [[Wicked 
Witch]] Power multiplication effects, e.g. [[Warp Spasm]] Within each layer, apply the effects based 
on their timestamp, from oldest to newest. For ongoing effects generated by a passive ability (e.g. 
[[King of the Realm]], [[Root Spider]]), their timestamp is when the card entered the realm. For 
ongoing effects generated by an activated or triggered ability (e.g. [[Floodplain]], [[Bog]]), their 
timestamp is when the ability was activated or triggered, not when the original source entered the 
realm. An effect cannot remove itself once it's already being applied. For example, an animated 
[[Silence]] aura will cause itself to lose its abilities in layer 2, but losing that ability will 
not remove the silence effect, which was already being applied. In the unlikely event that two or 
more cards enter the realm simultaneously and they have passive abilities that may need to be 
ordered (e.g. my [[King of the Realm]] and yours, entering simultaneously via [[Boneyard]]), the 
active player's cards are considered to have entered first (in the order of their choosing, if they 
have more than one entering simultaneously)."
"","","Example - Two Kings of the Realm:  If you play [[King of the Realm]] and then I play [[King of the 
Realm]] afterward, the game applies both control effects in layer 3. Since your King is older, the 
game starts with that effect. Your King gives you control of all mortals, including my King. Then, 
when the second King's ability is being applied, he's already controlled by you due to the first 
King's ability. Therefore, you control all mortals and the first King 'wins.'"
"","","Example - Two Smokestacks of Gnaak:  If you play [[Smokestacks of Gnaak]] and then I play another 
Smokestacks of Gnaak nearby, the game tries to apply both lose-ability effects in layer 5. Since 
your Smokestacks are older, the game starts with that effect. Your Smokestacks causes my Smokestacks 
to lose its ability. Then, when my Smokestacks ability would be applied, it already lost its ability 
due to the first Smokestacks. Therefore, the first Smokestacks 'wins.'"
"","","Example - Flood vs. Drought:  If you play [[Flood]] and then I play [[Drought]], the game tries to 
apply both affinity changing effects in layer 5. Since you played Flood first, the game first gives 
the affected sites a minimum of one water affinity (W). Then, when my Drought ability is applied, 
the affected sites have no water affinity. Therefore, the Drought 'wins.' If Flood had been played 
second, then the Flood effect would have been applied second, and thus would 'win.' Remember that if 
an activated or triggered ability creates an ongoing effect, the effect applies based on when the 
ability activated or triggered, not when the original source entered the realm. For example, 
[[Floodplain]]'s activated ability would 'win' against a [[Drought]] even if the Floodplain entered 
the realm before Drought, as long as the Floodplain's activated ability was used after Drought."
"","","How to Handle Dependencies:  This is a complicated concept, perhaps the most complicated in the 
whole codex! Be warned. Let's start with examples. I have [[Lucid Dreamers]] in the realm and cast a 
[[Bosk Troll]] to them, so my Troll gains voidwalk. Then, I cast [[Power of Flight]] on my Trolls. 
When applying those ongoing effects, I apply them in layer 5. Technically, I apply the Voidwalk 
first (because it's older) and then I apply Airborne. But, the end result would be the same if I 
applied them in the opposite order; either way, I end up with a Troll that has Voidwalk and 
Airborne. These two ongoing effects do not depend on each other. Now, let's consider two [[Sisters 
of Silence]]. I play Sister A then you play Sister B nearby. We apply the silenced effect in layer 
2. Since Sister A is older, the game applies that first, Sister B loses her ability, and Sister A 
retains her ability. If I applied them in the opposite order, Sister A would lose her ability and 
Sister B would retain hers. In this case, both ongoing effects depend on each other. Finally, let's 
consider one Sister of Silence and a [[Grievous Insult]]. I play my Sister of Silence and then you 
play Grievous Insult. Let's say you have a [[House Arn Bannerman]] nearby my Sisters. If we apply 
the Sisters first (because they entered the realm before the Grievous Insult was played), House Arn 
Bannerman will be silenced, and then the Sisters would be silenced by the Insult. In this scenario, 
the House Arn Bannerman would already be silenced and not get his ability back when the Sisters 
became silenced by the Insult! If we consider the alternate order, applying the Insult first, the 
Sisters still end up silenced, but the House Arn Bannerman will not be silenced. In this case, the 
Sisters' ability is dependent on the Insult, but the Insult is not dependent on the Sisters (since 
the Sisters end up Silenced by the Insult regardless of order). Player intuition would say that if I 
play Sisters and then you play Grievous Insult, we would expect the Grievous Insult to actually 
apply first, even though it was played later. That is the whole point of the dependency rule! If one 
effect depends on another (but not visa versa!), apply the independent effect first, ignoring normal 
timestamp order. This whole rule can probably be boiled down to 'use your intuition on how it should 
work.' Here are further examples: I play [[King of the Realm]], and then you use [[Mesmerism]] my 
King of the Realm. Without the dependency rule, we would apply the control effect from my King of 
the Realm to all Mortals, then you would get control of only my King of the Realm via Mesmerism (but 
not all the other Mortals, because we already applied that effect). But that's obviously not the way 
it should work, since Mesmerism is independent of the King's effect. Therefore, we apply Mesmerism 
first, then King of the Realm. I play [[Fields of Phyxis]] to silence your [[Floodplain]] in front 
of it. Then, you play [[Acid Rain]] just on my Fields. If we applied these in order, my Fields would 
silence your Floodplain, then your Acid Rain would silence my Fields (but the Floodplain would 
already be silenced). But that's obviously not how it should work, since Acid Rain is independent of 
Fields. Therefore, we apply Acid Rain first, silencing Fields of Phyxis (and the Floodplains won't 
get silenced by the Fields). If there are multiple independent and dependent effects, apply the 
independent effects in timestamp order, then the dependent effects in timestamp order. For example, 
if I play King of the Realm, then you play King of the Realm, you Mesmerize my King, then I 
Infiltrate my King back... We would note that Mesmerize and Infiltrate are independent of the King's 
effects, and apply those first. Mesmerize, then Infiltrate. Then we'd apply the King's abilities in 
order after that. Finally, note that if two effects are both dependent on each other, use timestamp 
normally. Examples of that are detailed ))above(( in '((Example - Two Kings of the Realm)),' 
'((Example - Two Smokestacks of Gnaak)), and '((Example - Flood vs. Drought)).'"
"Only It Can Cast","Some effects allow a non-Avatar to become a special spellcaster, draw a spell, and then only it can 
cast the spell. For example, [[Char Omphalos]], [[Morgana Le Fay]], or [[Archangel Gabriel]]. The 
card counts as drawn by you, but it ends up in a separate zone, not your hand. Ensure it does not 
get mixed up with your normal hand. Only the controller of the special spellcaster can look at the 
spell. If the controller changes, the new controller gets to look at the spell and may cast it 
normally (e.g. meet threshold, etc.). If the special spellcaster leaves the realm, any remaining 
spells go to the cemetery. The special spellcaster may cast the spell, even if they don't normally 
have spellcaster, e.g. the allied minion blessed by [[Archangel Gabriel]].",""
"Oversized Units","Normally, units occupy only one location while in the realm. However, some oversized units occupy 
multiple locations simultaneously due to their size, e.g. [[Mountain Giant]]. To represent the 
minion's locations, place the card at the intersection of the sites. When you cast such a minion, 
declare the area it will occupy when summoned, which must include at least one of your sites, per 
normal minion casting rules. It may include some of your opponent's sites, but couldn't include the 
void (without Voidwalk) nor [[Gnome Hollows]] (unless its power was low enough). A card's size is 
determined as it enters the realm (or via other effects, e.g. [[Megamoeba]] or [[The Rack]]) and 
becomes one of its characteristics. Therefore, even if a [[Mountain Giant]] were disabled or in a 
[[Silence]] aura, it would continue to occupy a 2x2 area. Oversized units occupy each of their 
locations. Therefore, if grid damage is dealt to multiple such locations, oversized units take 
damage at each of those locations. For example, a [[Major Explosion]] centered on a Mountain Giant 
would deal 7 + 5 + 5 + 3 = 20 damage to it. An oversized unit could simultaneously occupy both land 
and water sites, as well as void squares if it had voidwalk. It cannot occupy the surface and 
subsurface simultaneously, unless it has specific text allowing it, e.g. [[Megamoeba]]. When an 
oversized unit moves, you choose a direction and all parts of it move that direction. If any part of 
it can't move in the chosen direction, then it can't move in that direction at all. When attacking, 
oversized units still target only a single enemy unit or site.",""
"","","Teleporting Oversized Units:  When an oversized unit is teleported, it must be to a location or set 
of locations that are all legal for that unit to occupy, and must not cross regional boundaries 
unless allowed by card text. If the destination of the teleportation is a single location, the 
controller of the teleportation effect chooses the position and orientation of the unit, as long as 
the destination is included in the locations it ends up occupying. For example, [[Mountain Giant]] 
is chosen as the ally for [[Blink]]:  As the 'nearby location,' I choose X. Now, the Mountain Giant 
can end up in any of these positions:     Since the Mountain Giant is a square shape, its 
orientation doesn't typically matter, but if it were carrying something, it could also be rotated as 
desired from the teleportation."
"","","Cards that Assume Units Occupy Only One Location:  There are many cards that assume units occupy 
only one location or site. When resolving such effects for oversized units, simply pick a single 
site or location they occupy. For example, [[Spin Attack]], [[Leap Attack]], and [[Recall]] all 
assume the unit occupies only one location; to resolve them properly, you pick one location the 
oversized unit occupies."
"Ownership and Control","You are the owner of all the cards you bring to a game of Sorcery. The owner of a card does not 
change during the game. A card is always returned to its owner's hand, shuffled into its owner's 
deck, or sent to its owner's cemetery, regardless of who controls the card when it leaves the realm. 
While the owner of a card is most often its controller, control of cards may change over the course 
of a game, e.g. [[Mesmerism]]. When effects use phrases like 'your minions' or 'your sites,' it 
refers to what you control, and not what you own. By default, cards are controlled by whoever puts 
them into the realm. For artifacts that can be carried, the controller of the unit that's carrying 
the artifact also controls the artifact itself. If such an artifact is not carried, it has no 
controller. For tokens, see the '((Token))' codex entry for details.",""
"Passive Ability","A passive ability creates an ongoing effect that is always active while the card is in the relevant 
game zone. Typically this zone will be the realm, but some cards have abilities that specify what 
they do while in your hand, while in your cemetery, etc. [[King of the Realm]] is an example of a 
card with a passive ability. A passive ability is one of the few ways that an ongoing effect can be 
created. See the '((ongoing effect))' codex entry for more details on how to handle multiple 
overlapping or conflicting ongoing effects.",""
"Path","A path for a card that's moving involves 1 or more steps, and each step has a starting and ending 
location that's different. If your step is from a location to that same location, you didn't 
actually move anywhere. If you occupied multiple locations while moving, all of those locations are 
included in your path, including for oversized units. A path for projectiles is a bit different, and 
can include just the starting location. See '((projectiles))' for more details.",""
"Pay Life","You can only pay X life if your life total is at least X. For example, you cannot pay 3 life if you 
have 2 or less life. If you have 0 life, you cannot pay any life at all. Note that losing life is 
different from paying life. You can lose life even if you have 0 life.",""
"Phrases that are Synonymous","Sorcery cards use natural, thematic language. Some words and phrases are synonymous and have the 
same game effect: Fly. Throw through the air.  You heal. Gain life. Technically, if a minion heals, 
its wounds can go away. If a minion gains life, there's no effect. But there are very few cards in 
the game that ever heal minions, e.g. [[Font of Life]]. The vast majority of healing effects only 
heal 'you,' the player.  Drag. Pull. Note that 'Lure' is different, since 'Lure' requires the unit 
to take the step themselves.  Destroy. Kill. Die. Dispel (for auras). Note that 'Banish' is 
different from those listed above.  Traverse. Move into. Enter. Leave. Note that 'leave' and 'enter' 
obviously care about different locations, but the moment in time is identical. If you move and leave 
one location, you have simultaneously entered a different location. There's no moment when you're in 
limbo between locations.  Atop. Above.  Near. Nearby.  On the ground. Onto the ground.  In the 
context of a projectile: Shoot. Throw.",""
"Phrases with Subtle Meanings","Sorcery cards use natural, thematic language. Some words and phrases have different meanings 
depending on their context. Read the card text carefully to determine which meaning is correct: 
Bottom (deck) vs. Bottom (realm)  Surface (noun) vs. Surface (verb)  Aboveground (atop, includes 
Airborne) vs. 'on the ground' (related to movement from surface to surface, excludes Airborne) These 
two phrases mean different things!  Water (threshold) vs. Water site (opposite of land site) These 
are very similar ideas, but not exactly the same.  Fight vs. Attack vs. Strike If a card uses the 
word fight, it ignores normal attack targeting restrictions. E.g. [[Pudge Butcher]] could fight 
[[Gyre Hippogriffs]] even though they have Airborne and Pudge Butcher does not, and [[Giant Shark]] 
could fight a [[Band of Thieves]] that moves in the water even though the Thieves have Stealth. All 
units involved in the fight strike each other simultaneously. If a card uses the word strike, it 
also ignores normal attack targeting restrictions. E.g. [[Grapple Shot]] can allow a [[Bosk Troll]] 
to strike Gyre Hippogriffs even though they have Airborne and the Troll does not. When a unit 
strikes due to an effect like Grapple Shot (and not merely a fight), the opposing unit doesn't 
strike back. If a card uses the word attack in the text, follow normal attack restrictions and card 
effects, e.g. [[Crave Golem]], which has many FAQs to clarify the effect! Note that some cards use 
'attack' in the title (e.g. [[Spin Attack]]) but use 'strike' in the card text; card text is what 
matters in this case, not the title.  Take a step vs. X steps away vs. Push/Pull one step See the 
'Step' codex entry for more details.  Stops is not the same as at rest. A unit stops when there is 
no additional movement for that unit on the storyline. A unit must first move to then stop. At rest 
means nothing is on the storyline. See the 'At Rest' codex entry for more details.  Draw vs. 'Put 
into your hand' If you put a card directly into your hand, you have not drawn it.",""
"Pick Up","Pick Up is a basic, activated ability with the following text: Once on your turn, this unit may pick 
up any number of artifacts here. Each unit can use its Pick Up ability once per turn. You may only 
pick up artifacts that aren't already being carried. Since Pick Up is an activated ability, you can 
only use it during the main phase on your turn while nothing is on the storyline. For example, you 
can't use the Pick Up ability while in the middle of the Move and Attack ability. If the unit has 
the ability to carry units (e.g. [[War Horse]]), then its Pick Up basic ability is modified from 
'artifacts' to 'artifacts and/or target units.' See the 'Drop' and '((Carrying Units))' codex 
entries for more details. An oversized unit may simultaneously Pick Up from all locations it 
occupies.",""
"Play","The word 'play' is synonymous with 'cast' for purposes of spells. For sites, the word 'play' means 
selecting the site and placing it in the realm. Unlike spells that enter the storyline, playing 
sites does not use the storyline. They go directly from your hand (or sometimes from a different 
zone) to the realm.",""
"Power","Units have power, which is a measure of their ability to inflict damage and sustain damage. Power is 
most often shown as a single number in the top right of the card. For example, [[Bosk Troll]] has a 
power of 3. When it strikes, it will inflict 3 damage. If it takes 3 or more damage in a turn, it 
will die. Some minions have split power. Units may not have less than zero power. See the '((zero))' 
codex entry for more details on units with zero power.",""
"Prevention Effect","Prevention effects are very similar to replacement effects, but are specifically related to 
preventing damage, and apply after replacement effects. For example, [[Tufted Turtle]] is a 
prevention effect. When applying damage to a Tufted Turtle, first apply any replacement effects 
(e.g. Lance, [[Critical Strike]]) and then apply the Turtle's prevention effect last. This rule 
ensures that prevention effects function properly. E.g., you can't somehow apply a Lance after the 
Turtle's prevention effect was applied, somehow dealing damage, which would be wrong. For more 
details, see the '((Damage))' codex entry and subsections.",""
"Printed Ability","Printed abilities are the special abilities actually printed on the card. Any special abilities that 
the card gains through other effects, while still special abilities, are not 'printed' abilities.",""
"Projectile","A projectile's flight begins at the shooting unit's location and travels within the same region in a 
cardinal direction. Its flight continues until it either reaches the edge of its region or it 
reaches the first unit (enemy or ally) along its path, ignoring any allies at the projectile's 
starting location. Different projectiles will have different effects, but often deal damage to the 
impacted unit. If there are multiple valid units that could be hit, the projectile's controller 
chooses which unit the projectile hits. Projectiles enter their starting location. Then, they have a 
path that includes their starting location and any additional locations. Projectiles cannot hit 
minions with Stealth, but some projectiles don't care about 'hitting' and instead just care about 
their path (e.g. [[Snowball]]).",""
"","","Piercing Projectile:  Piercing projectiles keep moving even after hitting a unit; they only stop 
when they reach a region boundary. Piercing projectiles only hit one unit at each location, ignoring 
allies at the starting location as usual. A piercing projectile cannot cross region boundaries, and 
cannot hit a unit more than once (even if it's oversized)."
"","","Projectiles That Cause Forced Movement:  Some projectiles cause forced movement after they hit, e.g. 
[[Grapple Shot]] or [[Pudge Butcher]]. The forced movement path matches the projectile's path. (If 
[[Magellan Globe]] or [[Ruler of Thul]] is in the realm, you can't shoot the projectile one way, and 
then drag the other way around the realm.) See the '((Movement on the Storyline))' entry for more 
details."
"Random","Random effects are those that use the word 'random' or involve rolling a ))die((, e.g. [[Salmon of 
Knowledge]]. To determine a random outcome, use any reasonable method, such as rolling a ))die((, 
assigning equal probability to each possible outcome. For example, if there are three units at the 
location you target with [[Lightning Bolt]], you could assign 1-2 to the first unit, 3-4 to the 
second unit, and 5-6 to the third unit, then roll a six-sided ))die((.",""
"Range of Motion","A unit's range of motion is every location it could reach if it used the Move and Attack basic 
ability, ignoring all triggered abilities. If a unit can't use the Move and Attack basic ability 
(e.g. Disabled), then it has no range of motion. When determining which locations the unit can reach 
(and thus Defend there, or be forced to attack there via [[The Green Knight]], for example), the 
game looks ahead, considering all ongoing effects (including passive abilities) and ignoring all 
triggered abilities. Below are some examples to help illuminate these rules. Example 1  An 
[[Apprentice Wizard]] is in square A and the attack is happening in square E. The game foresees that 
the Apprentice Wizard can't reach square E and thus he can't tap to Defend. Example 2
Same as Example 1, but [[Magellan Globe]] is in the realm or [[Waypoint Portal]] is in effect. Now, 
the game notices the ongoing effect and allows the Defend ability. Example 3
The attack's location is [[Gnome Hollows]] and a [[Bosk Troll]] is at an adjacent site. The game 
foresee that the Bosk Troll won't be able to move into the Gnome Hollows because that's a passive 
effect, and thus the Troll can't tap to Defend. Example 4
The attack's location is [[Bottomless Pit]] and the Bosk Troll is adjacent. The game will allow the 
Defend ability, because the Troll can actually move there. Of course, the Bosk Troll will die upon 
arrival due to Bottomless Pit, but the Defend ability would be allowed. Example 5  The attack is 
happening at A. I have [[Rimland Nomads]] at N. There is a [[Giant Shark]] at S, which is a water 
site. As soon as the Rimland Nomads move toward A to Defend, the Shark will fight them at S via its 
mandatory triggered ability. There is no way that the Nomads could actually reach A in two steps. 
Nonetheless, the game will allow the Rimland Nomads to use the Defend ability because when the game 
looks ahead to see which locations the Nomads can reach, the game ignores all triggered abilities. 
Example 6
Same as Example 5, but instead of a Shark at S, it's a [[Bog]], having targeted itself. In this 
case, the game will not allow the Nomads to use the Defend ability, because the game considers all 
ongoing effects (including the Bog) and foresees that the Nomads can't reach the attack's location. 
The difference is that Giant Shark is a triggered ability (which is ignored during lookahead) and 
Bog is an ongoing ability (which is considered during lookahead). Lookahead Summary
In summary, if the player can demonstrate a movement path that would reach the attack's location, 
ignoring all triggered abilities, then the Defend ability is allowed. Explanation
If you're reading this deeply into the Codex, you might be wondering why the game ignores triggered 
abilities for the lookahead. One reason is that there are some cases where the lookahead for 
triggered abilities yields an unknown outcome. For example, in Example 5, instead of Nomads, if it 
were a [[Phantom Steed]] with a [[Poisonous Dagger]] carrying [[Amazon Warriors]], can the Phantom 
Steed reach A or not? It depends if the Shark chooses to fight the Warriors first or the Steed 
first. The second reason is that this approach allows the lookahead for mandatory actions like 'must 
attack' (e.g. [[Mask of Mayhem]]) to use the same rules, since players' intuition in those cases is 
to force an attack even into a Shark or [[Mariner's Curse]]. Therefore, we consistently ignore 
triggered abilities when considering a unit's range of motion.",""
"Ranged, Ranged X, and +X Range","Keyword Ability. Ranged is a keyword that grants a unit the following activated ability: Tap → Shoot 
a projectile that stops after 1 step. Strike the hit unit. If a unit has Ranged X, e.g. Ranged 3 on 
[[Fail-not Bow]], then replace '1 step' with 'X steps.' Multiple copies of the Ranged ability do not 
provide additional range, but if an effect explicitly uses +X Range, e.g. [[Vantage Hills]], then 
the number of steps the projectile can travel increases accordingly. The ranged projectile follows 
normal projectile rules. If the projectile hits a unit, the ranged shooter strikes the hit unit. 
This follows normal strike rules, even though the shooter and the struck unit might be in different 
locations, e.g. a Lance will inflict +1 damage and break. Note that the ranged ability shoots a 
projectile that may hit a unit; it will not hit sites, and thus cannot damage sites in that way (use 
the Move and Attack ability instead).",""
"Rarity","There are four levels of rarity in Sorcery, described below. Note that Avatars do not have a rarity 
listed on their typeline and thus don't have any rarity during gameplay, but you still only have one 
Avatar!",""
"","","Ordinary:  The lowest level of rarity. You may include up to 4 copies of an ordinary card (by name) 
in your deck."
"","","Exceptional:  The second lowest level of rarity. You may include up to 3 copies of an exceptional 
card (by name) in your deck."
"","","Elite:  The second highest level of rarity. You may include up to 2 copies of an elite card (by 
name) in your deck."
"","","Unique:  The highest level of rarity. You may include only 1 ))copy(( of a unique card (by name) in 
your deck."
"","","Curios:  We don't talk about curios!"
"Realm","The realm is all the squares in the game and everything in those squares. Typically the realm is a 
5x4 grid of squares.",""
"Region","There are exactly four regions in Sorcery: Surface Underwater Underground Void Even if a group of 
surface locations is separated by the void from another group of surface locations, there is still 
only a single surface region. Every surface location is part of the surface region. Every 
underground location is part of the underground region. Etc.",""
"Replacement Effect","Replacement effects replace one event with another. These types of effects often use the word 
'instead' and 'would,' with phrases like 'would die,' 'would take damage,' 'would successfully 
attack,' or 'would untap.' For example, [[Gilded Aegis]] is a replacement effect for a minion dying. 
It's constantly looking for the moment that minion is about to die, then it replaces that event (the 
minion dying) with a different event (healing the minion and banishing the Gilded Aegis). In such a 
situation, the minion never actually died, and the game was actually looking ahead just slightly to 
see it, then trigger and resolve the replacement effect. Note that replacement effects do not use 
the storyline; they immediately resolve as soon as they are triggered. See the '((Damage))' codex 
entry and subsections for more details on damage-specific replacement effects.",""
"Royalty","Royalty is any card with King, Queen (or Queene), Prince, or Princess in its name. For example, 
[[Crown Prince]] and [[The Faerie Queene]] are royalty.",""
"Rubble","Rubble is a Ordinary site token with the ability 'Provides no mana.' It also has no affinity and is 
controlled by no one. When a site is destroyed, it leaves behind a Rubble token. When a site would 
enter the realm, it may replace a Rubble as if the Rubble were a void, following all other normal 
site placement rules. In all other ways, Rubble is treated the same as any other site. For example, 
because it has no water affinity, it is a land site.",""
